Rank,Country,Regime type,Overall score,Electoral process and pluralism,Functioning of government,Political participation,Political culture,Civil liberties
1,Norway,Full democracy,9.81,10,9.64,10,10,9.41
2,New Zealand,Full democracy,9.61,10,9.29,10,8.75,10
3,Iceland,Full democracy,9.52,10,9.64,8.89,9.38,9.71
4,Sweden,Full democracy,9.39,9.58,9.64,8.33,10,9.41
5,Finland,Full democracy,9.29,10,9.64,8.33,8.75,9.71
6,Denmark,Full democracy,9.28,10,9.29,8.33,9.38,9.41
7,Switzerland,Full democracy,9.14,9.58,9.29,8.33,9.38,9.12
8,Ireland,Full democracy,9.13,10,8.21,8.33,10,9.12
9,Netherlands,Full democracy,9,9.58,8.93,8.33,8.75,9.41
10,Taiwan,Full democracy,8.99,10,9.64,7.78,8.13,9.41
11,Uruguay,Full democracy,8.91,10,8.93,7.78,8.13,9.71
12,Canada,Full democracy,8.88,10,8.57,8.89,8.13,8.82
13,Luxembourg,Full democracy,8.81,10,8.93,6.67,8.75,9.71
14,Germany,Full democracy,8.8,9.58,8.57,8.33,8.13,9.41
15,Australia,Full democracy,8.71,10,8.57,7.78,7.5,9.71
16,Japan,Full democracy,8.33,9.17,8.57,6.67,8.13,9.12
17,Costa Rica,Full democracy,8.29,9.58,7.5,7.78,6.88,9.71
18,United Kingdom,Full democracy,8.28,9.58,7.5,8.33,6.88,9.12
19,Chile,Full democracy,8.22,9.58,8.21,6.67,7.5,9.12
20,Austria,Full democracy,8.2,9.58,7.14,8.89,6.88,8.53
21,Mauritius,Full democracy,8.14,9.17,7.86,6.11,8.75,8.82
22,France,Full democracy,8.07,9.58,7.86,7.78,6.88,8.24
22,Spain,Full democracy,8.07,9.58,7.5,7.22,7.5,8.53
24,South Korea,Full democracy,8.03,9.58,8.57,7.22,6.25,8.53
25,Czech Republic,Flawed democracy,7.97,9.58,6.43,7.22,7.5,9.12
25,Greece,Flawed democracy,7.97,10,7.14,6.67,7.5,8.53
27,Estonia,Flawed democracy,7.96,9.58,7.86,6.67,6.88,8.82
28,Portugal,Flawed democracy,7.95,9.58,7.5,6.67,6.88,9.12
29,Israel,Flawed democracy,7.93,9.58,7.86,9.44,6.88,5.88
30,United States,Flawed democracy,7.85,9.17,6.43,8.89,6.25,8.53
31,Slovenia,Flawed democracy,7.75,9.58,7.14,7.22,6.25,8.53
32,Botswana,Flawed democracy,7.73,9.17,6.79,6.67,7.5,8.53
33,Malta,Flawed democracy,7.7,9.17,7.14,5.56,8.13,8.53
34,Italy,Flawed democracy,7.69,9.58,6.79,7.22,7.5,7.35
35,Cape Verde,Flawed democracy,7.65,9.17,7,6.67,6.88,8.53
36,Belgium,Flawed democracy,7.64,9.58,8.21,5,6.88,8.53
37,Cyprus,Flawed democracy,7.38,9.17,5.36,6.67,6.88,8.82
38,Latvia,Flawed democracy,7.37,9.58,6.07,6.11,6.25,8.82
39,Lithuania,Flawed democracy,7.31,9.58,6.43,6.11,5.63,8.82
40,Malaysia,Flawed democracy,7.3,9.58,7.86,7.22,6.25,5.59
41,Trinidad and Tobago,Flawed democracy,7.16,9.58,7.14,6.11,5.63,7.35
42,Jamaica,Flawed democracy,7.13,8.75,7.14,5,6.25,8.53
43,Slovakia,Flawed democracy,7.07,9.58,6.07,5.56,5.63,8.53
44,East Timor,Flawed democracy,7.06,9.58,5.93,5.56,6.88,7.35
45,South Africa,Flawed democracy,7.05,7.42,7.14,8.33,5,7.35
46,India,Flawed democracy,7.04,8.67,7.5,7.22,5.63,6.18
46,Poland,Flawed democracy,7.04,9.17,6.07,6.67,6.25,7.06
48,Suriname,Flawed democracy,6.95,9.58,6.43,6.11,5,7.65
49,Panama,Flawed democracy,6.91,9.58,6.07,7.22,3.75,7.94
50,Argentina,Flawed democracy,6.85,9.17,5,7.78,4.38,7.94
51,Brazil,Flawed democracy,6.78,9.58,5,6.67,5,7.65
52,Philippines,Flawed democracy,6.73,9.17,5,7.78,4.38,7.35
53,Colombia,Flawed democracy,6.72,9.17,6.07,6.67,3.75,7.94
54,Indonesia,Flawed democracy,6.71,7.92,7.86,7.22,4.38,6.18
55,Thailand,Flawed democracy,6.67,7.42,6.07,8.33,5.63,5.88
56,Hungary,Flawed democracy,6.64,8.33,6.79,4.44,6.88,6.76
57,Bulgaria,Flawed democracy,6.53,9.17,5.36,6.11,4.38,7.65
58,Namibia,Flawed democracy,6.52,7,5.36,6.67,5.63,7.94
59,Croatia,Flawed democracy,6.5,9.17,6.07,6.11,4.38,6.76
60,Sri Lanka,Flawed democracy,6.47,7,5.71,7.22,6.25,6.18
61,Montenegro,Flawed democracy,6.45,7.42,6.79,7.22,3.75,7.06
61,Romania,Flawed democracy,6.45,9.17,6.43,5.56,3.75,7.35
63,Ghana,Flawed democracy,6.43,8.33,5,6.67,6.25,5.88
64,Albania,Flawed democracy,6.41,7,6.43,5,6.25,7.35
65,Dominican Republic,Flawed democracy,6.39,9.17,5.36,7.22,3.13,7.06
66,Mongolia,Flawed democracy,6.35,8.75,5.36,6.11,5.63,5.88
67,Guyana,Flawed democracy,6.34,6.92,6.07,6.67,5,7.06
68,Serbia,Flawed democracy,6.33,7.83,6.07,6.67,3.75,7.35
